阿尔玛	a er ma
圣安妮塔德比	sheng an ni ta de bi
声称	sheng cheng
胜出光彩	sheng chu guang cai
圣诞跨栏	sheng dan kua lan
圣诞游行	sheng dan you xing
胜多利大	sheng duo li da
盛冈	sheng gang
圣格卢大赛	sheng ge lu da sai
胜局在望	sheng ju zai wang
胜利奖券	sheng li jiang quan
圣烈特	sheng lie te
圣烈治锦标	sheng lie zhi jin biao
胜马	sheng ma
圣牛	sheng niu
生气	sheng qi
胜千里	sheng qian li
胜上率	sheng shang lv
圣堂	sheng tang
圣西蒙	sheng xi meng
圣雅尼塔	sheng ya ni ta
生野狄杜斯	sheng ye di du si
圣詹姆士皇宫锦标	sheng zhan mu shi huang gong jin biao
胜之石	sheng zhi shi
圣佐维	sheng zuo wei
十点	shi dian
实够威	shi gou wei
十欢蔷薇	shi huan qiang wei
实绩	shi ji
世纪之马	shi ji zhi ma
识价	shi jia
世家集	shi jia ji
时间悖论	shi jian bei lun
世界霸主	shi jie ba zhu
世界马王	shi jie ma wang
世界首映	shi jie shou ying
时津风	shi jin feng
时津王	shi jin wang
史密夫锦标	shi mi fu jin biao
史匹堡	shi pi bao
诗人作家	shi ren zuo jia
时时精彩	shi shi jing cai
施素尔	shi su er
实稳金	shi wen jin
适性	shi xing
誓言	shi yan
石野周日	shi ye zhou ri
施奕诚	shi yi cheng
适应性	shi ying xing
史永邦	shi yong bang
试闸	shi zha
史卓栋	shi zhuo dong
狮子德班	shi zi de ban
十字徽	shi zi hui
收成	shou cheng
收得	shou de
授权	shou quan
树林之灵	shu lin zhi ling
双涡轮	shuang wo lun
水车礁石	shui che jiao shi
水到渠成	shui dao qu cheng
说唱专辑	shuo chang zhuan ji
烁烁多	shuo shuo duo
硕信尚武	shuo xin shang wu
丝绸会	si chou hui
送达驹	song da ju
松岛正昭	song dao zheng zhao
松山弘平	song shan hong ping
颂赞木星	song zan mu xing
速度大师	su du da shi
速度赛马	su du sai ma
速度象征	su du xiang zheng
速度指数	su du zhi shu
苏林美亚	su lin mei ya
苏铭伦	su ming lun
苏兆辉	su zhao hui
随心起舞	sui xin qi wu
缩程	suo cheng
所向披靡	suo xiang pi mi
塔皮特	ta pi te
台风翠丝	tai feng cui si
太空陨石	tai kong yun shi
太平洋经典赛	tai ping yang jing dian sai
太阳神骥	tai yang shen ji
太阳战车锦标	tai yang zhan che jin biao
探查男孩	tan cha nan hai
谈唱剧	tan chang ju
弹跳人	tan tiao ren
唐吉快跑	tang ji kuai pao
唐加士打一哩	tang jia shi da yi li
唐卡斯特	tang ka si te
桃花木	tao hua mu
淘金者	tao jin zhe
逃马	tao ma
逃切	tao qie
特别周	te bie zhou
特察殊	te cha shu
藤冈佑介	teng gang you jie
藤田晋	teng tian jin
蹄活达	ti huo da
蹄起劲	ti qi jin
天才舞者	tian cai wu zhe
天春	tian chun
天赐宝驹	tian ci bao ju
天高	tian gao
田口贯太	tian kou guan tai
天览赛马	tian lan sai ma
天狼星象征	tian lang xing xiang zheng
天秋	tian qiu
田泰安	tian tai an
天堂中站	tian tang zhong zhan
天下唯一	tian xia wei yi
天鹰翱翔	tian ying ao xiang
田中博康	tian zhong bo kang
调教师	tiao jiao shi
调酒源流	tiao jiu yuan liu
跳栏	tiao lan
跳舞城	tiao wu cheng
铁杵成针	tie chu cheng zhen
铁脚	tie jiao
铁路连线	tie lu lian xian
铁鸟翱天	tie niao ao tian
铁胜龙	tie sheng long
铤而走险	ting er zou xian
同工之妙	tong gong zhi miao
同着	tong zhe
统治地位	tong zhi di wei
头差	tou cha
头马	tou ma
突击	tu ji
土佐绿	tu zuo lv
团野大成	tuan ye da cheng
推骑	tui qi
退役马	tui yi ma
退役仪式	tui yi yi shi
脱出	tuo chu
瓦格纳风	wa ge na feng
万宝路杯	wan bao lu bei
万得乐	wan de le
弯角十字	wan jiao shi zi
万利嘉多	wan li jia duo
湾流园	wan liu yuan
挽马	wan ma
万千宠爱	wan qian chong ai
丸善斯基	wan shan si ji
万胜飞	wan sheng fei
晚熟	wan shu
望空	wang kong
网络邮电	wang luo you dian
旺虾王	wang xia wang
旺紫丁	wang zi ding
望族	wang zu
伟大征程	wei da zheng cheng
维多利亚一哩	wei duo li ya yi li
威尔顿	wei er dun
威尔士亲王锦标	wei er shi qin wang jin biao
维港智能	wei gang zhi neng
韦纪力	wei ji li
韦利安	wei li an
维省	wei sheng
未胜利	wei sheng li
韦氏	wei shi
文采侯妇	wen cai hou fu
文家良	wen jia liang
温萝	wen luo
温血马	wen xue ma
文雅之士	wen ya zhi shi
问责	wen ze
我的至宝	wo de zhi bao
我驹长山	wo ju chang shan
我情可待	wo qing ke dai
无败三冠	wu bai san guan
舞伴	wu ban
无敌先锋	wu di xian feng
武丰	wu feng
乌拉拉	wu la la
伍鹏志	wu peng zhi
无声铃鹿	wu sheng ling lu
武希望	wu xi wang
武幸四郎	wu xing si lang
武野丝绒	wu ye si rong
五月玫瑰	wu yue mei gui
西方骏马	xi fang jun ma
喜高尚	xi gao shang
郗国思	xi guo si
喜利是路	xi li shi lu
喜莲之星	xi lian zhi xing
西沙里奥	xi sha li ao
希望锦标	xi wang jin biao
希望之城	xi wang zhi cheng
西雅图回旋	xi ya tu hui xuan
西野雏菊	xi ye chu ju
西野花	xi ye hua
西友	xi you
侠马道	xia ma dao
夏威夷鸟	xia wei yi niao
夏威夷王	xia wei yi wang
夏辛村	xia xin cun
现地	xian di
宪法山	xian fa shan
鲜红叶	xian hong ye
先力达	xian li da
先团	xian tuan
显心星	xian xin xing
险涯峻峰	xian ya jun feng
现役	xian yi
先勇名驹	xian yong ming ju
弦乐器	xian yue qi
香槟锦标	xiang bin jin biao
香槟钻	xiang bin zuan
乡村情郎	xiang cun qing lang
香港杯	xiang gang bei
香港短途锦标	xiang gang duan tu jin biao
香港冠军暨遮打杯	xiang gang guan jun ji zhe da bei
香港瓶	xiang gang ping
香港一哩锦标	xiang gang yi li jin biao
向礼伦	xiang li lun
相马	xiang ma
相马眼	xiang ma yan
橡木城	xiang mu cheng
湘南魔瓶	xiang nan mo ping
橡树大赛	xiang shu da sai
小村白马	xiao cun bai ma
小林历奇	xiao lin li qi
消暑乐祭	xiao shu le ji
小说名家	xiao shuo ming jia
小镇风情	xiao zhen feng qing
骁智娇娃	xiao zhi jiao wa
协荣龙头	xie rong long tou
协奏小子	xie zou xiao zi
辛迪加	xin di jia
新光风	xin guang feng
心叫	xin jiao
信可成真	xin ke cheng zhen
新路向	xin lu xiang
新马战	xin ma zhan
信念	xin nian
新市场	xin shi chang
新王朝	xin wang chao
新潟	xin xi
新潟纪念	xin xi ji nian
新写实派	xin xie shi pai
信雅达	xin ya da
新宇宙	xin yu zhou
心之所慕	xin zhi suo mu
信子之梦	xin zi zhi meng
杏目	xing mu
醒目飞鹰	xing mu fei ying
醒目琼斯	xing mu qiong si
幸英明	xing ying ming
星映天下	xing ying tian xia
星云天空	xing yun tian kong
雄心威龙	xiong xin wei long
秀发生风	xiu fa sheng feng
秀逸小岛	xiu yi xiao dao
须贝尚介	xu bei shang jie
续行	xu xing
旋进轨迹	xuan jin gui ji
旋转世界	xuan zhuan shi jie
雪岭热点	xue ling re dian
雪满天	xue man tian
血系	xue xi
寻金	xun jin
雅大爷	ya da ye
鸭都拿王子	ya dou na wang zi
雅阁锦标	ya ge jin biao
雅灵顿百万金大赛	ya ling dun bai wan jin da sai
雅士谷	ya shi gu
雅士谷金杯	ya shi gu jin bei
验货	yan huo
艳迹可寻	yan ji ke xun
阉马	yan ma
艳玫华彩	yan mei hua cai
岩田康诚	yan tian kang cheng
岩田望来	yan tian wang lai
阳光白仁	yang guang bai ren
洋芝	yang zhi
妖精骑士	yao jing qi shi
咬口	yao kou
耀满瓶	yao man ping
叶森	ye sen
叶森德比	ye sen de bi
野田	ye tian
野田赤蝎	ye tian chi xie
野田十分	ye tian shi fen
野田贤君	ye tian xian jun
野田小子	ye tian xiao zi
也文摄辉	ye wen she hui
夜舞	ye wu
夜想曲	ye xiang qu
伊比尔族	yi bi er zu
一代母	yi dai mu
一级赛	yi ji sai
一口马主	yi kou ma zhu
一哩	yi li
伊丽莎白女王杯	yi li sha bai nv wang bei
一路通	yi lu tong
译名	yi ming
伊女	yi nv
一千坚尼锦标	yi qian jian ni jin biao
一胜级	yi sheng ji
一胜再胜	yi sheng zai sheng
伊斯巴翰锦标	yi si ba han jin biao
异想天开	yi xiang tian kai
一夜暴富	yi ye bao fu
异议人士	yi yi ren shi
易用软件	yi yong ruan jian
一砖一瓦	yi zhuan yi wa
引导马	yin dao ma
印第车道	yin di che dao
银末脚	yin mo jiao
银幕英雄	yin mu ying xiong
因子	yin zi
英爱双德比	ying ai shuang de bi
盈宝	ying bao
盈宝奇岳	ying bao qi yue
盈宝威神	ying bao wei shen
英短	ying duan
英宫塔堡	ying gong ta bao
英冠	ying guan
英国冠军锦标	ying guo guan jun jin biao
英国冠军系列殿堂	ying guo guan jun xi lie dian tang
樱花丰王	ying hua feng wang
樱花桂冠	ying hua gui guan
樱花进王	ying hua jin wang
樱花千代王	ying hua qian dai wang
樱花千岁王	ying hua qian sui wang
樱花赏	ying hua shang
樱花星王	ying hua xing wang
英皇查理斯三世锦标	ying huang cha li si san shi jin biao
英皇锦标	ying huang jin biao
英里锦标赛	ying li jin biao sai
英伦海峡	ying lun hai xia
英勇之狐	ying yong zhi hu
应援	ying yuan
永葆青春	yong bao qing chun
永岛真奈美	yong dao zhen nai mei
雍容白荷	yong rong bai he
雍容尔雅	yong rong er ya
勇战神驹	yong zhan shen ju
勇者帝王	yong zhe di wang
游遍汪洋	you bian wang yang
友道康夫	you dao kang fu
幼驹	you ju
优骏	you jun
优俊少女	you jun shao nv
有马纪念	you ma ji nian
右手鞭	you shou bian
优娴舞士	you xian wu shi
有性格	you xing ge
优秀素质	you xiu su zhi
友萤格	you ying ge
有终之美	you zhong zhi mei
预后不良	yu hou bu liang
玉龙	yu long
玉龙集团	yu long ji tuan
御庐锦标	yu lu jin biao
育马	yu ma
育马场	yu ma chang
育马者	yu ma zhe
育马者杯草地大赛	yu ma zhe bei cao di da sai
育马者杯雌马经典赛	yu ma zhe bei ci ma jing dian sai
育马者杯经典赛	yu ma zhe bei jing dian sai
誉满迪拜	yu man di bai
预热	yu re
榆树锦标	yu shu jin biao
羽田杯	yu tian bei
御用画匠	yu yong hua jiang
御用律师	yu yong lv shi
愚悦	yu yue
玉藻十字	yu zao shi zi
愚者汤姆	yu zhe tang mu
愚者眼界	yu zhe yan jie
愚者愚悦	yu zhe yu yue
宇宙无极	yu zhou wu ji
鱼子精华	yu zi jing hua
鱼子精华闪电锦标	yu zi jing hua shan dian jin biao
缘厚情挚	yuan hou qing zhi
原居民	yuan ju min
岳本贤	yue ben xian
岳伯仁	yue bo ren
越发甜	yue fa tian
月光曲	yue guang qu
月桂河	yue gui he
月桂桥	yue gui qiao
约翰亨利	yue han heng li
约克橡树	yue ke xiang shu
岳品贤	yue pin xian
岳斯	yue si
越位陷阱	yue wei xian jing
月影云霞	yue ying yun xia
月正满天	yue zheng man tian
云巅	yun dian
云旗	yun qi
云丝仙子	yun si xian zi
再度精彩	zai du jing cai
早熟	zao shu
增程	zeng cheng
札幌	zha huang
札幌纪念	zha huang ji nian
闸门	zha men
闸位	zha wei
闸位表	zha wei biao
占卜	zhan bu
战舞者	zhan wu zhe
战争之人	zhan zheng zhi ren
障碍	zhang ai
彰显马	zhang xian ma
爪皇凌雨	zhao huang ling yu
朝日杯	zhao ri bei
着差	zhe cha
遮打杯	zhe da bei
遮眼袋	zhe yan dai
遮影环	zhe ying huan
真诚	zhen cheng
真诚少女	zhen cheng shao nv
真弓快车	zhen gong kuai che
真皇	zhen huang
真机伶	zhen ji ling
珍莲骄骥	zhen lian jiao ji
真命新帝	zhen ming xin di
真善美	zhen shan mei
真实社台	zhen shi she tai
真心呼唤	zhen xin hu huan
真章	zhen zhang
正手鞭	zheng shou bian
制霸	zhi ba
直布罗山	zhi bu luo shan
掷弹兵团	zhi dan bing tuan
支付管家	zhi fu guan jia
织姬	zhi ji
织女星	zhi nv xing
制胜一击	zhi sheng yi ji
指示鞭	zhi shi bian
直线一气	zhi xian yi qi
直行	zhi xing
重场	zhong chang
种费	zhong fei
中和巫师	zhong he wu shi
重击	zhong ji
种马冠军	zhong ma guan jun
种牡马	zhong mu ma
中内田充正	zhong nei tian chong zheng
重炮	zhong pao
中山庆典	zhong shan qing dian
中山障碍大奖赛	zhong shan zhang ai da jiang sai
重赏	zhong shang
终身成就奖	zhong shen cheng jiu jiang
终弯	zhong wan
重心城	zhong xin cheng
中央公园锦标	zhong yang gong yuan jin biao
终直	zhong zhi
周末商贩	zhou mo shang fan
周日竞马	zhou ri jing ma
周日宁静	zhou ri ning jing
朱德望	zhu de wang
珠峰锦标	zhu feng jin biao
朱鹮夏季短跑	zhu huan xia ji duan pao
逐鹿沙场	zhu lu sha chang
主席锦标	zhu xi jin biao
竹园飞剑	zhu yuan fei jian
主战	zhu zhan
竹芝王	zhu zhi wang
转厩	zhuan jiu
追分	zhui fen
追切	zhui qie
追逐彩虹	zhui zhu cai hong
捉刀手	zhuo dao shou
卓定咸金杯	zhuo ding xian jin bei
卓芙	zhuo fu
卓华斯锦标	zhuo hua si jin biao
卓伦谷	zhuo lun gu
卓维利园锦标	zhuo wei li yuan jin biao
子弹列车	zi dan lie che
自由岛	zi you dao
紫苑锦标	zi yuan jin biao
棕精灵	zong jing ling
足球小子	zu qiu xiao zi
钻禧	zuan xi
钻禧锦标	zuan xi jin biao
钻中宝	zuan zhong bao
最佳古牡	zui jia gu mu
最佳古牝	zui jia gu pin
最强战士	zui qiang zhan shi
尊师重道	zun shi zhong dao
左手鞭	zuo shou bian
佐佐木大辅	zuo zuo mu da fu
