暗杠	an gang
里宝牌表示牌	li bao pai biao shi pai
粒粒幺	li li yao
理牌	li pai
里悬赏牌	li xuan shang pai
立直	li zhi
立直棒	li zhi bang
立直一发	li zhi yi fa
连风牌	lian feng pai
连开花	lian kai hua
连刻	lian ke
连六	lian liu
连七对	lian qi dui
连中三元	lian zhong san yuan
连庄	lian zhuang
两番	liang fan
两家和	liang jia hu
两家胡	liang jia hu
两面听	liang mian ting
两嵌	liang qian
两向听	liang xiang ting
岭上	ling shang
岭上开花	ling shang kai hua
六本场	liu ben chang
六饼	liu bing
六番	liu fan
流局	liu ju
流局满贯	liu ju man guan
六连	liu lian
六连张	liu lian zhang
六索	liu suo
六条	liu tiao
六筒	liu tong
六万	liu wan
轮流坐庄	lun liu zuo zhuang
轮庄	lun zhuang
裸单骑	luo dan qi
绿发	lv fa
绿一色	lv yi se
绿一色轮	lv yi se lun
马吊牌起源说	ma diao pai qi yuan shuo
麻将	ma jiang
麻将词库	ma jiang ci ku
麻将起源	ma jiang qi yuan
码牌	ma pai
麻雀	ma que
麻雀牌起源说	ma que pai qi yuan shuo
满贯	man guan
盲牌	mang pai
么九头	me jiu tou
门风	men feng
门风刻	men feng ke
门风牌	men feng pai
门前	men qian
门前加符	men qian jia fu
门前清	men qian qing
门前清自摸和	men qian qing zi mo hu
门前清自摸胡	men qian qing zi mo hu
门清	men qing
面断平	mian duan ping
面子符	mian zi fu
妙手回春	miao shou hui chun
明杠	ming gang
明刻	ming ke
鸣牌	ming pai
模拟打法	mo ni da fa
南北战争	nan bei zhan zheng
南昌麻将	nan chang ma jiang
南二局	nan er ju
南风	nan feng
南风圈	nan feng quan
南家	nan jia
南京麻将	nan jing ma jiang
南入	nan ru
南三局	nan san ju
南四局	nan si ju
南一局	nan yi ju
内蒙麻将	nei meng ma jiang
牌城	pai cheng
牌池	pai chi
牌谱	pai pu
牌数	pai shu
牌友	pai you
盘分	pan fen
配牌	pei pai
碰牌	peng pai
碰碰和	peng peng he
屁和	pi hu
拼音佳佳	pin yin jia jia
拼音佳佳词库	pin yin jia jia ci ku
平和	ping he
平和	ping hu
平局	ping ju
破回八连庄	po hui ba lian zhuang
铺铺倒	pu pu dao
七本场	qi ben chang
七饼	qi bing
七对	qi dui
七对子	qi dui zi
七番	qi fan
起和	qi hu
起和分	qi hu fen
砌牌	qi pai
七巧	qi qiao
七索	qi suo
七条	qi tiao
七筒	qi tong
七万	qi wan
七小对	qi xiao dui
七星	qi xing
七星不靠	qi xing bu kao
七星聚会	qi xing ju hui
七星聚义	qi xing ju yi
七星无靠	qi xing wu kao
嵌单	qian dan
嵌张	qian zhang
嵌张听	qian zhang ting
嵌张听牌	qian zhang ting pai
抢暗杠	qiang an gang
枪暗杠	qiang an gang
抢杠	qiang gang
枪杠	qiang gang
抢杠和	qiang gang he
亲跳	qin tiao
清杯口	qing bei kou
青洞门	qing dong men
亲家	qing jia
清老	qing lao
清老头	qing lao tou
清龙	qing long
青龙	qing long
清三节	qing san jie
清四碰	qing si peng
清幺九	qing yao jiu
清一	qing yi
清一色	qing yi se
清一条龙	qing yi tiao long
全不靠	quan bu kao
全大	quan da
全大由序数牌	quan da you xu shu pai
全带	quan dai
全带五	quan dai wu
全带幺	quan dai yao
全带幺九	quan dai yao jiu
圈风	quan feng
圈风刻	quan feng ke
全求人	quan qiu ren
全是幺	quan shi yao
全双刻	quan shuang ke
