安阖	an he
图南之翼	tu nan zhi yi
顽丘	wan qiu
王气	wang qi
伪朝	wei chao
伪王	wei wang
沃飞	wo fei
斡由	wo you
吴刚环蛇	wu gang huan she
吴刚门	wu gang men
吴蓝涤	wu lan di
五山	wu shan
梧桐宫	wu tong gong
梧王	wu wang
夕晖	xi hui
犀渠	xi qu
西之沧海	xi zhi cang hai
喜州	xi zhou
夏官	xia guan
夏官长	xia guan zhang
仙伯	xian bo
县正	xian zheng
郷长	xiang chang
祥琼	xiang qiong
庠序	xiang xu
小司寇	xiao si kou
小司徒	xiao si tu
小松尚隆	xiao song shang long
小宰	xiao zai
晓之天	xiao zhi tian
虚海	xu hai
许配	xu pei
玄师	xuan shi
玄武	xuan wu
玄瑛宫	xuan ying gong
玄之月	xuan zhi yue
徇麒	xun qi
徇王	xun wang
呀峰	ya feng
鸭世卓	ya shi zhuo
燕朝	yan chao
雁国	yan guo
延麒	yan qi
燕射	yan she
延王	yan wang
雁州国	yan zhou guo
妖魔之子	yao mo zhi zi
尧天	yao tian
野木	ye mu
夜想月雫	ye xiang yue na
揖宁	yi ning
伊洒	yi sa
义塾	yi shu
尹洒	yin sa
瑛庚	ying geng
鹰隼宫	ying sun gong
影之海	ying zhi hai
瑛州	ying zhou
玉兰	yu lan
雨潦宫	yu liao gong
玉泉	yu quan
御史	yu shi
予王	yu wang
予王舒觉	yu wang shu jue
御玺	yu xi
玉叶夫人	yu ye fu ren
远甫	yuan fu
元魁	yuan kui
月迷风影	yue mi feng ying
月溪	yue xi
月之影	yue zhi ying
宰辅	zai fu
乍骁宗	zha xiao zong
掌戮	zhang lu
掌囚	zhang qiu
掌舍	zhang she
杖身	zhang shen
昭彰	zhao zhang
折伏	zhe fu
辙围之盾	zhe wei zhi dun
真实之鞘	zhen shi zhi qiao
祯卫	zhen wei
正赖	zheng lai
芝草	zhi cao
治朝	zhi chao
雉鸡	zhi ji
楖人	zhi ren
仲鞑	zhong da
中岛阳子	zhong dao yang zi
重朔	zhong shuo
冢宰	zhong zai
州侯	zhou hou
州司马	zhou si ma
州宰	zhou zai
朱旌	zhu jing
珠晶	zhu jing
助露峰	zhu lu feng
朱雀	zhu que
朱氏	zhu shi
朱夏	zhu xia
朱厌	zhu yan
宗麟	zong lin
宗王	zong wang
奏国	zou guo
奏南国	zou nan guo
驺虞	zou yu
