阿娣	a di
玄净圣姬	xuan jing sheng ji
玄净天	xuan jing tian
玄冥教大殿	xuan ming jiao da dian
玄冥教总舵	xuan ming jiao zong duo
玄圣阎君	xuan sheng yan jun
玄霜	xuan shuang
玄武山	xuan wu shan
雪儿	xue er
燕凌姣	yan ling jiao
燕凌霞	yan ling xia
炎龙掌	yan long zhang
阎萌萌	yan meng meng
燕清风	yan qing feng
杨淼	yang miao
杨默	yang mo
阳叔子	yang shu zi
杨天瑶	yang tian yao
杨焱	yang yan
阳炎圣姬	yang yan sheng ji
阳炎天	yang yan tian
耶律阿保机	ye lv a bao ji
耶律剌葛	ye lv la ge
一辈子都是不良人	yi bei zi dou shi bu liang ren
易涟	yi lian
一天是不良人	yi tian shi bu liang ren
吟风恋	yin feng lian
勇字门门主	yong zi men men zhu
游龙戏凤	you long xi feng
御灵手	yu ling shou
御灵团	yu ling tuan
彧凝真	yu ning zhen
余万雄	yu wan xiong
渝州城城门	yu zhou cheng cheng men
渝州城石桥	yu zhou cheng shi qiao
渝州分舵	yu zhou fen duo
原点	yuan dian
苑鹏飞	yuan peng fei
元圣阎君	yuan sheng yan jun
元圣阎君蒋昭义	yuan sheng yan jun jiang zhao yi
袁天罡	yuan tian gang
元翔	yuan xiang
月满空	yue man kong
月青堂	yue qing tang
张磊	zhang lei
张氏	zhang shi
张天师	zhang tian shi
张玄陵	zhang xuan ling
张轶弢	zhang yi tao
张震	zhang zhen
张子凡	zhang zi fan
昭圣阎君	zhao sheng yan jun
赵述仁	zhao shu ren
赵毅	zhao yi
正熙	zheng xi
至圣乾坤功	zhi sheng qian kun gong
钟馗	zhong kui
中天位	zhong tian wei
钟小葵	zhong xiao kui
中星位	zhong xing wei
忠字门门主	zhong zi men men zhu
周宁	zhou ning
周星伽	zhou xing jia
朱雀橙	zhu que cheng
朱温	zhu wen
朱友珪	zhu you gui
朱友文	zhu you wen
朱友贞	zhu you zhen
朱芷怡	zhu zhi yi
左丘宁	zuo qiu ning
